,location,eventType,dt,event_name,event_date,dates
585,E CHARLOTTE STREET & WALKE STREET,Flooded street,2015-10-02 02:04:53,Joaquin-2015-09-29,2015-09-29,2015-10-02
586,E PRINCESS ANNE ROAD & TIDEWATER DRIVE,Flooded street,2015-10-02 06:27:39,Joaquin-2015-09-29,2015-09-29,2015-10-02
587,6455 KNOX ROAD,Flooded street,2015-10-02 07:38:35,Joaquin-2015-09-29,2015-09-29,2015-10-02
588,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2015-10-02 07:49:43,Joaquin-2015-09-29,2015-09-29,2015-10-02
589,500 BLOCK OF W LITTLE CREEK ROAD,Flooded street,2015-10-02 07:50:13,Joaquin-2015-09-29,2015-09-29,2015-10-02
590,1029 PHILPOTTS ROAD,Flooded street,2015-10-02 08:43:10,Joaquin-2015-09-29,2015-09-29,2015-10-02
591,7948 ARDMORE ROAD,Flooded street,2015-10-02 09:10:57,Joaquin-2015-09-29,2015-09-29,2015-10-02
592,300 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2015-10-02 09:18:59,Joaquin-2015-09-29,2015-09-29,2015-10-02
593,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Flooded street,2015-10-02 09:54:39,Joaquin-2015-09-29,2015-09-29,2015-10-02
594,E CITY HALL AVENUE & TIDEWATER DRIVE,Flooded street,2015-10-02 10:33:37,Joaquin-2015-09-29,2015-09-29,2015-10-02
595,9600 BLOCK OF 3RD BAY STREET,Flooded street,2015-10-02 11:10:48,Joaquin-2015-09-29,2015-09-29,2015-10-02
596,19TH BAY STREET & PLEASANT AVENUE,Flooded street,2015-10-02 11:37:02,Joaquin-2015-09-29,2015-09-29,2015-10-02
597,9600 BLOCK OF 16TH BAY STREET,Flooded street,2015-10-02 11:40:08,Joaquin-2015-09-29,2015-09-29,2015-10-02
598,9500 BLOCK OF 13TH BAY STREET,Flooded street,2015-10-02 11:44:18,Joaquin-2015-09-29,2015-09-29,2015-10-02
599,3200 BLOCK OF PRETTY LAKE AVENUE,Flooded street,2015-10-02 11:47:33,Joaquin-2015-09-29,2015-09-29,2015-10-02
600,DELAWARE AVENUE & MAYFLOWER ROAD,Flooded street,2015-10-02 11:50:32,Joaquin-2015-09-29,2015-09-29,2015-10-02
601,9600 BLOCK OF 4TH VIEW STREET,Flooded street,2015-10-02 12:00:19,Joaquin-2015-09-29,2015-09-29,2015-10-02
602,11TH STREET & MONTICELLO AVENUE,Flooded street,2015-10-02 12:01:17,Joaquin-2015-09-29,2015-09-29,2015-10-02
603,WATER STREET & PARK AVENUE,Flooded street,2015-10-02 12:03:09,Joaquin-2015-09-29,2015-09-29,2015-10-02
604,35TH STREET & COLONIAL AVENUE,Flooded street,2015-10-02 12:06:55,Joaquin-2015-09-29,2015-09-29,2015-10-02
605,36TH STREET & COLONIAL AVENUE,Flooded street,2015-10-02 12:07:28,Joaquin-2015-09-29,2015-09-29,2015-10-02
606,E OCEAN VIEW AVENUE & SHORE DRIVE,Flooded street,2015-10-02 12:08:38,Joaquin-2015-09-29,2015-09-29,2015-10-02
607,HAMPTON BOULEVARD & MAGNOLIA AVENUE,Flooded street,2015-10-02 12:11:22,Joaquin-2015-09-29,2015-09-29,2015-10-02
608,400 BLOCK OF TIDEWATER DRIVE,Flooded street,2015-10-02 12:12:35,Joaquin-2015-09-29,2015-09-29,2015-10-02
609,1100 BLOCK OF MONTICELLO AVENUE,Flooded street,2015-10-02 12:22:47,Joaquin-2015-09-29,2015-09-29,2015-10-02
610,901 MAGNOLIA AVENUE,Flooded street,2015-10-02 12:26:52,Joaquin-2015-09-29,2015-09-29,2015-10-02
611,800 BLOCK OF MONTICELLO AVENUE,Flooded street,2015-10-02 12:32:11,Joaquin-2015-09-29,2015-09-29,2015-10-02
612,100 BLOCK OF PARK AVENUE,Flooded street,2015-10-02 12:34:02,Joaquin-2015-09-29,2015-09-29,2015-10-02
613,4100 BLOCK OF MAYFLOWER ROAD,Flooded street,2015-10-02 12:38:30,Joaquin-2015-09-29,2015-09-29,2015-10-02
614,MOWBRAY ARCH & W OLNEY ROAD,Flooded street,2015-10-02 12:46:27,Joaquin-2015-09-29,2015-09-29,2015-10-02
615,115 W LITTLE CREEK ROAD,Flooded street,2015-10-02 12:55:01,Joaquin-2015-09-29,2015-09-29,2015-10-02
616,LAFAYETTE BOULEVARD & ORLEANS CIRCLE,Flooded street,2015-10-02 12:59:08,Joaquin-2015-09-29,2015-09-29,2015-10-02
617,VILLA CIRCLE & E 26TH STREET,Flooded street,2015-10-02 12:59:36,Joaquin-2015-09-29,2015-09-29,2015-10-02
618,200 BLOCK OF LAVALETTE AVENUE,Flooded street,2015-10-02 13:00:26,Joaquin-2015-09-29,2015-09-29,2015-10-02
619,19TH BAY STREET & PRETTY LAKE AVENUE,Flooded street,2015-10-02 13:02:33,Joaquin-2015-09-29,2015-09-29,2015-10-02
620,18TH BAY STREET & PRETTY LAKE AVENUE,Flooded street,2015-10-02 13:02:54,Joaquin-2015-09-29,2015-09-29,2015-10-02
621,10TH BAY STREET & PRETTY LAKE AVENUE,Flooded street,2015-10-02 13:03:22,Joaquin-2015-09-29,2015-09-29,2015-10-02
622,11TH BAY STREET & PRETTY LAKE AVENUE,Flooded street,2015-10-02 13:03:41,Joaquin-2015-09-29,2015-09-29,2015-10-02
623,BERKLEY AVENUE EX & MARSH STREET,Flooded street,2015-10-02 13:16:30,Joaquin-2015-09-29,2015-09-29,2015-10-02
624,MAJESTIC AVENUE & MYRTLE AVENUE,Flooded street,2015-10-02 13:17:48,Joaquin-2015-09-29,2015-09-29,2015-10-02
625,MAGNOLIA AVENUE & JAMESTOWN CRESCENT,Flooded street,2015-10-02 13:18:03,Joaquin-2015-09-29,2015-09-29,2015-10-02
626,5900 BLOCK OF HAMPTON BOULEVARD,Flooded street,2015-10-02 13:18:34,Joaquin-2015-09-29,2015-09-29,2015-10-02
627,E VIRGINIA BEACH BOULEVARD & CHAPEL STREET,Flooded street,2015-10-02 13:18:35,Joaquin-2015-09-29,2015-09-29,2015-10-02
628,4TH VIEW STREET & I-64W HIGHWAY,Flooded street,2015-10-02 13:19:15,Joaquin-2015-09-29,2015-09-29,2015-10-02
629,2600 BLOCK OF VILLA CIRCLE,Flooded street,2015-10-02 13:19:54,Joaquin-2015-09-29,2015-09-29,2015-10-02
630,52ND STREET & COLLEY AVENUE,Flooded street,2015-10-02 13:20:34,Joaquin-2015-09-29,2015-09-29,2015-10-02
631,BOLLING AVENUE & JAMESTOWN CRESCENT,Flooded street,2015-10-02 13:21:20,Joaquin-2015-09-29,2015-09-29,2015-10-02
632,4TH BAY STREET & E OCEAN VIEW AVENUE,Flooded street,2015-10-02 13:22:21,Joaquin-2015-09-29,2015-09-29,2015-10-02
633,6TH BAY STREET & E OCEAN VIEW AVENUE,Flooded street,2015-10-02 13:22:47,Joaquin-2015-09-29,2015-09-29,2015-10-02
634,CAROLINA AVENUE & MAYFLOWER ROAD,Flooded street,2015-10-02 13:23:30,Joaquin-2015-09-29,2015-09-29,2015-10-02
635,MASON CREEK ROAD & W OCEAN VIEW AVENUE,Flooded street,2015-10-02 13:25:26,Joaquin-2015-09-29,2015-09-29,2015-10-02
636,8017 GLADE ROAD,Flooded street,2015-10-02 13:26:42,Joaquin-2015-09-29,2015-09-29,2015-10-02
637,555 E LIBERTY STREET,Flooded street,2015-10-02 13:27:25,Joaquin-2015-09-29,2015-09-29,2015-10-02
638,DELAWARE AVENUE & LLEWELLYN AVENUE,Flooded street,2015-10-02 13:29:07,Joaquin-2015-09-29,2015-09-29,2015-10-02
639,2125 KIMBALL TERRACE,Flooded street,2015-10-02 13:33:19,Joaquin-2015-09-29,2015-09-29,2015-10-02
640,700 BLOCK OF W BRAMBLETON AVENUE,Flooded street,2015-10-02 13:57:34,Joaquin-2015-09-29,2015-09-29,2015-10-02
641,E VIRGINIA BEACH BOULEVARD & MONTICELLO AVENUE,Flooded street,2015-10-02 14:03:47,Joaquin-2015-09-29,2015-09-29,2015-10-02
642,BLOW STREET & REDGATE AVENUE,Flooded street,2015-10-02 14:10:45,Joaquin-2015-09-29,2015-09-29,2015-10-02
643,200 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2015-10-02 14:17:13,Joaquin-2015-09-29,2015-09-29,2015-10-02
644,4000 BLOCK OF PLEASANT AVENUE,Flooded street,2015-10-02 14:26:05,Joaquin-2015-09-29,2015-09-29,2015-10-02
645,9500 BLOCK OF 20TH BAY STREET,Flooded street,2015-10-02 14:26:36,Joaquin-2015-09-29,2015-09-29,2015-10-02
646,HAMPTON BOULEVARD & HANOVER AVENUE,Flooded street,2015-10-02 14:26:54,Joaquin-2015-09-29,2015-09-29,2015-10-02
647,2300 BLOCK OF KIMBALL TERRACE,Flooded street,2015-10-02 14:38:42,Joaquin-2015-09-29,2015-09-29,2015-10-02
648,E PRINCESS ANNE ROAD & INGLESIDE ROAD,Flooded street,2015-10-02 14:44:07,Joaquin-2015-09-29,2015-09-29,2015-10-02
649,E BRAMBLETON AVENUE & ROSWELL AVENUE,Flooded street,2015-10-02 14:46:00,Joaquin-2015-09-29,2015-09-29,2015-10-02
650,1630 MADISON AVENUE,Flooded street,2015-10-02 14:47:16,Joaquin-2015-09-29,2015-09-29,2015-10-02
651,51ST STREET & KILLAM AVENUE,Flooded street,2015-10-02 14:48:45,Joaquin-2015-09-29,2015-09-29,2015-10-02
652,BLUESTONE AVENUE & 49TH STREET,Flooded street,2015-10-02 14:49:39,Joaquin-2015-09-29,2015-09-29,2015-10-02
653,ROLFE AVENUE & WALNUT HILL STREET,Flooded street,2015-10-02 14:50:28,Joaquin-2015-09-29,2015-09-29,2015-10-02
654,RICHMOND PLACE & MANCHESTER AVENUE,Flooded street,2015-10-02 14:51:00,Joaquin-2015-09-29,2015-09-29,2015-10-02
655,HAMPTON BOULEVARD & JAMESTOWN CRESCENT,Flooded street,2015-10-02 14:51:21,Joaquin-2015-09-29,2015-09-29,2015-10-02
656,SURREY CRESCENT & UPPER BRANDON PLACE,Flooded street,2015-10-02 14:51:49,Joaquin-2015-09-29,2015-09-29,2015-10-02
657,38TH STREET & LLEWELLYN AVENUE,Flooded street,2015-10-02 14:53:09,Joaquin-2015-09-29,2015-09-29,2015-10-02
658,SOUTH MOWBRAY ARCH & YARMOUTH STREET,Flooded street,2015-10-02 14:54:26,Joaquin-2015-09-29,2015-09-29,2015-10-02
659,MAGNOLIA AVENUE & ROLFE AVENUE,Flooded street,2015-10-02 14:55:30,Joaquin-2015-09-29,2015-09-29,2015-10-02
660,GRACE STREET & YARMOUTH STREET,Flooded street,2015-10-02 14:56:04,Joaquin-2015-09-29,2015-09-29,2015-10-02
661,HAMPTON BOULEVARD & SURREY CRESCENT,Flooded street,2015-10-02 14:56:39,Joaquin-2015-09-29,2015-09-29,2015-10-02
662,BOLLING AVENUE & HAMPTON BOULEVARD,Flooded street,2015-10-02 15:32:13,Joaquin-2015-09-29,2015-09-29,2015-10-02
663,ARGYLE AVENUE & NORTH SHORE ROAD,Flooded street,2015-10-02 15:38:04,Joaquin-2015-09-29,2015-09-29,2015-10-02
664,1287 W OCEAN VIEW AVENUE,Flooded street,2015-10-02 15:39:55,Joaquin-2015-09-29,2015-09-29,2015-10-02
665,DUNMORE STREET & YORK STREET,Flooded street,2015-10-02 15:54:07,Joaquin-2015-09-29,2015-09-29,2015-10-02
666,9634 SALEM STREET,Flooded street,2015-10-02 17:06:03,Joaquin-2015-09-29,2015-09-29,2015-10-02
667,1234 RICHMOND CRESCENT,Flooded street,2015-10-02 21:46:58,Joaquin-2015-09-29,2015-09-29,2015-10-02
668,150 PARK AVENUE,Flooded street,2015-10-03 00:04:03,Joaquin-2015-09-29,2015-09-29,2015-10-03
669,HAMPTON BOULEVARD & LARCHMONT CRESCENT,Flooded street,2015-10-03 00:43:32,Joaquin-2015-09-29,2015-09-29,2015-10-03
670,3RD BAY STREET & E OCEAN VIEW AVENUE,Flooded street,2015-10-03 00:49:44,Joaquin-2015-09-29,2015-09-29,2015-10-03
671,E LITTLE CREEK ROAD & HALPRIN DRIVE,Flooded street,2015-10-03 00:50:59,Joaquin-2015-09-29,2015-09-29,2015-10-03
672,300 E LITTLE CREEK ROAD,Flooded street,2015-10-03 01:06:53,Joaquin-2015-09-29,2015-09-29,2015-10-03
673,1000 MONTICELLO AVENUE,Flooded street,2015-10-03 01:09:40,Joaquin-2015-09-29,2015-09-29,2015-10-03
674,900 BAGNALL ROAD,Flooded street,2015-10-03 02:17:33,Joaquin-2015-09-29,2015-09-29,2015-10-03
675,301 TIDEWATER DRIVE,Flooded street,2015-10-03 02:19:07,Joaquin-2015-09-29,2015-09-29,2015-10-03
676,CAMPOSTELLA ROAD & I-264E HIGHWAY,Flooded street,2015-10-03 02:19:34,Joaquin-2015-09-29,2015-09-29,2015-10-03
677,13TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2015-10-03 02:19:53,Joaquin-2015-09-29,2015-09-29,2015-10-03
678,400 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2015-10-03 09:06:43,Joaquin-2015-09-29,2015-09-29,2015-10-03
679,7246 GRANBY STREET,Flooded street,2015-10-03 09:57:11,Joaquin-2015-09-29,2015-09-29,2015-10-03
680,920 N MILITARY HIGHWAY,Flooded street,2015-10-03 10:06:52,Joaquin-2015-09-29,2015-09-29,2015-10-03
681,9520 20TH BAY STREET,Flooded street,2015-10-03 13:17:36,Joaquin-2015-09-29,2015-09-29,2015-10-03
682,I-264E HIGHWAY & TIDEWATER DRIVE,Flooded street,2015-10-04 02:40:39,Joaquin-2015-09-29,2015-09-29,2015-10-04
683,I-264W HIGHWAY & E CITY HALL AVENUE,Flooded street,2015-10-04 02:42:35,Joaquin-2015-09-29,2015-09-29,2015-10-04
684,1503 LEA VIEW AVENUE,Flooded street,2015-10-04 07:08:02,Joaquin-2015-09-29,2015-09-29,2015-10-04
685,100 BLOCK OF W VIRGINIA BEACH BOULEVARD,Flooded street,2015-10-04 11:45:25,Joaquin-2015-09-29,2015-09-29,2015-10-04
686,49TH STREET & HAMPTON BOULEVARD,Flooded street,2015-10-04 12:41:20,Joaquin-2015-09-29,2015-09-29,2015-10-04
687,4TH VIEW STREET & STATEN STREET,Flooded street,2015-10-04 12:58:31,Joaquin-2015-09-29,2015-09-29,2015-10-04
688,600 BLOCK OF W OCEAN VIEW AVENUE,Flooded street,2015-10-04 13:00:55,Joaquin-2015-09-29,2015-09-29,2015-10-04
689,900 BLOCK OF BAGNALL ROAD,Flooded street,2015-10-04 13:05:26,Joaquin-2015-09-29,2015-09-29,2015-10-04
690,401 MONTICELLO AVENUE,Flooded street,2015-10-04 13:56:41,Joaquin-2015-09-29,2015-09-29,2015-10-04
691,MOWBRAY ARCH & PEMBROKE AVENUE,Flooded street,2015-10-04 14:15:44,Joaquin-2015-09-29,2015-09-29,2015-10-04
692,700 BLOCK OF BOTETOURT STREET,Flooded street,2015-10-04 14:18:52,Joaquin-2015-09-29,2015-09-29,2015-10-04
693,DRUMMOND PLACE & MOWBRAY ARCH,Flooded street,2015-10-04 14:20:03,Joaquin-2015-09-29,2015-09-29,2015-10-04
694,FAIRFAX AVENUE & MOWBRAY ARCH,Flooded street,2015-10-04 14:20:41,Joaquin-2015-09-29,2015-09-29,2015-10-04
695,200 BLOCK OF GRACE STREET,Flooded street,2015-10-04 14:21:32,Joaquin-2015-09-29,2015-09-29,2015-10-04
696,700 BLOCK OF MEMORIAL PLACE,Flooded street,2015-10-04 14:22:10,Joaquin-2015-09-29,2015-09-29,2015-10-04
697,300 BLOCK OF MOWBRAY ARCH,Flooded street,2015-10-04 14:25:18,Joaquin-2015-09-29,2015-09-29,2015-10-04
698,800 BLOCK OF DUKE STREET,Flooded street,2015-10-04 14:26:56,Joaquin-2015-09-29,2015-09-29,2015-10-04
699,MEMORIAL PLACE & MOWBRAY ARCH,Flooded street,2015-10-04 14:27:56,Joaquin-2015-09-29,2015-09-29,2015-10-04
700,9600 BLOCK OF 20TH BAY STREET,Flooded street,2015-10-04 14:28:28,Joaquin-2015-09-29,2015-09-29,2015-10-04
701,MILL STREET & MOWBRAY ARCH,Flooded street,2015-10-04 14:33:55,Joaquin-2015-09-29,2015-09-29,2015-10-04
702,9640 SALEM STREET,Flooded street,2015-10-04 14:35:00,Joaquin-2015-09-29,2015-09-29,2015-10-04
703,500 BLOCK OF MOWBRAY ARCH,Flooded street,2015-10-04 14:36:13,Joaquin-2015-09-29,2015-09-29,2015-10-04
704,200 BLOCK OF W OLNEY ROAD,Flooded street,2015-10-04 14:38:20,Joaquin-2015-09-29,2015-09-29,2015-10-04
705,SAINT PAULS BOULEVARD & UNION STREET,Flooded street,2015-10-04 15:09:55,Joaquin-2015-09-29,2015-09-29,2015-10-04
706,NORVIEW AVENUE & TIDEWATER DRIVE,Flooded street,2015-10-04 15:13:24,Joaquin-2015-09-29,2015-09-29,2015-10-04
707,6400 BLOCK OF HAMPTON BOULEVARD,Flooded street,2015-10-04 15:14:30,Joaquin-2015-09-29,2015-09-29,2015-10-04
708,MONROE PLACE & JAMESTOWN CRESCENT,Flooded street,2015-10-04 15:15:01,Joaquin-2015-09-29,2015-09-29,2015-10-04
709,STOCKLEY GARDENS & REDGATE AVENUE,Flooded street,2015-10-04 15:15:38,Joaquin-2015-09-29,2015-09-29,2015-10-04
710,STOCKLEY GARDENS & W OLNEY ROAD,Flooded street,2015-10-04 15:16:15,Joaquin-2015-09-29,2015-09-29,2015-10-04
711,NORVIEW AVENUE & SEDGEFIELD DRIVE,Flooded street,2015-10-04 15:17:01,Joaquin-2015-09-29,2015-09-29,2015-10-04
712,1200 BLOCK OF SUSSEX PLACE,Flooded street,2015-10-04 15:31:21,Joaquin-2015-09-29,2015-09-29,2015-10-04
713,1400 BLOCK OF KEMPSVILLE ROAD,Flooded street,2015-10-04 18:40:29,Joaquin-2015-09-29,2015-09-29,2015-10-04
714,1100 BLOCK OF CHARLESTON STREET,Flooded street,2015-10-04 18:55:46,Joaquin-2015-09-29,2015-09-29,2015-10-04
715,9600 BLOCK OF 11TH VIEW STREET,Flooded street,2015-10-04 21:10:49,Joaquin-2015-09-29,2015-09-29,2015-10-04
716,15TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2015-10-05 04:05:09,Joaquin-2015-09-29,2015-09-29,2015-10-05
717,E MAIN STREET & PARK AVENUE,Flooded street,2015-10-05 06:22:48,Joaquin-2015-09-29,2015-09-29,2015-10-05
718,GRANBY STREET & SHIRLEY AVENUE,Flooded street,2015-12-10 13:32:44,unnamed-2015-10-30,2015-10-30,2015-12-10
719,GLENDALE AVENUE & HAMPTON BOULEVARD,Flooded street,2015-12-30 15:39:31,Heavy Rainfall-2015-12-30,2015-12-30,2015-12-30
720,4TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2015-12-30 17:21:36,Heavy Rainfall-2015-12-30,2015-12-30,2015-12-30
721,4TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded underpass,2015-12-30 17:21:36,Heavy Rainfall-2015-12-30,2015-12-30,2015-12-30
722,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2016-01-15 20:39:48,01/15/2016-2016-01-15,2016-01-15,2016-01-15
723,BLUESTONE AVENUE & 49TH STREET,Flooded street,2016-01-15 20:44:22,01/15/2016-2016-01-15,2016-01-15,2016-01-15
724,5200 BLOCK OF HAMPTON BOULEVARD,Flooded street,2016-01-15 20:44:45,01/15/2016-2016-01-15,2016-01-15,2016-01-15
725,48TH STREET & POWHATAN AVENUE,Flooded street,2016-01-15 20:45:06,01/15/2016-2016-01-15,2016-01-15,2016-01-15
726,3100 BLOCK OF MARNE AVENUE,Flooded street,2016-01-15 20:54:50,01/15/2016-2016-01-15,2016-01-15,2016-01-15
727,300 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2016-01-15 22:19:17,01/15/2016-2016-01-15,2016-01-15,2016-01-15
728,8000 HAMPTON BOULEVARD,Flooded street,2016-01-22 22:46:56,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-22
729,1200 BLOCK OF MERRIMAC AVENUE,Flooded street,2016-01-22 23:45:49,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-22
730,300 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2016-01-22 23:46:28,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-22
731,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2016-01-23 00:39:11,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
732,1000 BLOCK OF MONTICELLO AVENUE,Flooded street,2016-01-23 01:32:58,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
733,1700 BLOCK OF GRANBY STREET,Flooded street,2016-01-23 01:35:07,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
734,COLONIAL AVENUE & W 21ST STREET,Flooded street,2016-01-23 01:38:47,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
735,E VIRGINIA BEACH BOULEVARD & PARK AVENUE,Flooded street,2016-01-23 01:56:42,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
736,E PRINCESS ANNE ROAD & INGLESIDE ROAD,Flooded street,2016-01-23 03:16:35,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
737,E VIRGINIA BEACH BOULEVARD & CHAPEL STREET,Flooded street,2016-01-23 03:17:19,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
738,E LITTLE CREEK ROAD & TIDEWATER DRIVE,Flooded street,2016-01-23 07:33:51,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
739,DELAWARE AVENUE & LLEWELLYN AVENUE,Flooded street,2016-01-23 07:44:45,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
740,E LITTLE CREEK ROAD & GALVESTON BOULEVARD,Flooded street,2016-01-23 08:03:58,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
741,6400 BLOCK OF AZALEA GARDEN ROAD,Flooded street,2016-01-23 08:09:45,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
742,4TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2016-01-23 08:23:11,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
743,400 BLOCK OF FORT WORTH AVENUE,Flooded street,2016-01-23 08:31:56,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
744,BOUSH STREET & W OLNEY ROAD,Flooded street,2016-01-23 08:50:31,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
745,300 BLOCK OF MOWBRAY ARCH,Flooded street,2016-01-23 08:51:37,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
746,5800 BLOCK OF HAMPTON BOULEVARD,Flooded street,2016-01-23 09:48:18,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
747,4600 BLOCK OF MAYFLOWER ROAD,Flooded street,2016-01-23 12:15:58,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
748,4700 BLOCK OF MAYFLOWER ROAD,Flooded street,2016-01-23 12:16:19,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
749,4200 BLOCK OF LLEWELLYN AVENUE,Flooded street,2016-01-23 21:16:58,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
750,4100 BLOCK OF LLEWELLYN AVENUE,Flooded street,2016-01-23 21:19:08,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
751,4000 BLOCK OF LLEWELLYN AVENUE,Flooded street,2016-01-23 21:20:47,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
752,7000 BLOCK OF HAMPTON BOULEVARD,Flooded street,2016-01-23 21:33:43,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
753,CHAPEL STREET & E BRAMBLETON AVENUE,Flooded street,2016-01-23 21:35:09,Jan Winter Weather-2016-01-20,2016-01-20,2016-01-23
754,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2016-02-04 12:50:07,unnamed-2016-02-01,2016-02-01,2016-02-04
755,1000 BERKLEY AVENUE EX,Flooded street,2016-02-04 13:21:39,unnamed-2016-02-01,2016-02-01,2016-02-04
756,ALEXANDER STREET & STRAND STREET,Flooded street,2016-02-05 10:21:31,unnamed-2016-02-01,2016-02-01,2016-02-05
757,DELAWARE AVENUE & LLEWELLYN AVENUE,Flooded street,2016-02-09 08:51:52,unnamed-2016-02-01,2016-02-01,2016-02-09
758,DUKE STREET & W OLNEY ROAD,Flooded street,2016-02-09 08:53:04,unnamed-2016-02-01,2016-02-01,2016-02-09
759,300 BLOCK OF WATERSIDE DRIVE,Flooded street,2016-02-24 15:38:58,February 24th Storm-2016-02-24,2016-02-24,2016-02-24
760,19TH BAY STREET & PLEASANT AVENUE,Flooded street,2016-05-05 20:43:53,unnamed-2016-02-25,2016-02-25,2016-05-05
761,20TH BAY STREET & PLEASANT AVENUE,Flooded street,2016-05-05 20:44:41,unnamed-2016-02-25,2016-02-25,2016-05-05
762,BOUSH STREET & W OLNEY ROAD,Flooded street,2016-05-05 20:46:10,unnamed-2016-02-25,2016-02-25,2016-05-05
763,900 BLOCK OF E CHARLOTTE STREET,Flooded street,2016-05-05 20:51:34,unnamed-2016-02-25,2016-02-25,2016-05-05
764,LLEWELLYN AVENUE & W VIRGINIA BEACH BOULEVARD,Flooded street,2016-05-05 20:52:17,unnamed-2016-02-25,2016-02-25,2016-05-05
765,ORLEANS STREET & LAFAYETTE AVENUE,Flooded street,2016-05-06 20:51:41,unnamed-2016-02-25,2016-02-25,2016-05-06
766,GRANBY STREET & LLEWELLYN AVENUE,Flooded street,2016-05-06 20:52:52,unnamed-2016-02-25,2016-02-25,2016-05-06
767,DUKE STREET & W OLNEY ROAD,Flooded street,2016-05-31 08:45:33,unnamed-2016-02-25,2016-02-25,2016-05-31
768,GRANBY STREET & KINGSLEY LANE,Flooded street,2016-06-05 21:50:57,Severe Weather - 6/5-2016-06-03,2016-06-03,2016-06-05
769,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2016-06-05 21:51:43,Severe Weather - 6/5-2016-06-03,2016-06-03,2016-06-05
770,HAMPTON BOULEVARD & JAMESTOWN CRESCENT,Flooded street,2016-06-05 21:52:33,Severe Weather - 6/5-2016-06-03,2016-06-03,2016-06-05
771,E 19TH STREET & MONTICELLO AVENUE,Flooded street,2016-06-05 21:53:23,Severe Weather - 6/5-2016-06-03,2016-06-03,2016-06-05
772,COLONIAL AVENUE & W PRINCESS ANNE ROAD,Flooded street,2016-06-05 21:53:56,Severe Weather - 6/5-2016-06-03,2016-06-03,2016-06-05
773,600 BLOCK OF W LITTLE CREEK ROAD,Flooded street,2016-06-05 21:58:32,Severe Weather - 6/5-2016-06-03,2016-06-03,2016-06-05
774,2000 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2016-07-01 16:53:36,unnamed-2016-06-10,2016-06-10,2016-07-01
775,1400 BLOCK OF MONTICELLO AVENUE,Flooded street,2016-07-01 16:54:14,unnamed-2016-06-10,2016-06-10,2016-07-01
776,HAMPTON BOULEVARD & W PRINCESS ANNE ROAD,Flooded street,2016-07-19 20:08:00,Thunderstorm-2016-07-19,2016-07-19,2016-07-19
777,LLEWELLYN AVENUE & SHIRLEY AVENUE,Flooded street,2016-07-19 20:09:35,Thunderstorm-2016-07-19,2016-07-19,2016-07-19
778,300 BLOCK OF SHIRLEY AVENUE,Flooded street,2016-07-19 20:10:40,Thunderstorm-2016-07-19,2016-07-19,2016-07-19
779,COLLEY AVENUE & W 21ST STREET,Flooded underpass,2016-07-19 20:11:53,Thunderstorm-2016-07-19,2016-07-19,2016-07-19
